Source MAC,Destination MAC,Protocol,Service,Source Address,Destination Address,Sequence Number,Acknowledgement Number,SYN Bit,ACK Bit,FIN Bit,Src Bytes,Time Stamp,Duration
00:0C:29:92:7B:E5,00:50:56:F4:05:7C,6,33,192.168.2.137,172.217.163.168,3752539226,391425232,0,1,0,66,1528658874.9184728,0.0
00:50:56:F4:05:7C,00:0C:29:92:7B:E5,6,33,172.217.163.168,192.168.2.137,391425232,3752539272,0,1,0,26,1528658874.9188054,0.0003325939178466797
00:50:56:F4:05:7C,00:0C:29:92:7B:E5,6,33,172.217.163.168,192.168.2.137,391425232,3752539272,0,1,0,66,1528658874.9545245,0.03605175018310547
00:0C:29:92:7B:E5,00:50:56:F4:05:7C,6,33,192.168.2.137,172.217.163.168,3752539272,391425278,0,1,0,20,1528658874.9552548,0.036782026290893555
00:0C:29:92:7B:E5,00:50:56:F4:05:7C,6,33,192.168.2.137,117.18.237.29,3972306317,120619022,0,1,0,20,1528658875.1274676,0.20899486541748047
00:0C:29:92:7B:E5,00:50:56:F4:05:7C,6,33,192.168.2.137,104.121.247.136,3954029733,1673544769,0,1,0,20,1528658875.1278188,0.20934605598449707
00:50:56:F4:05:7C,00:0C:29:92:7B:E5,6,33,117.18.237.29,192.168.2.137,120619022,3972306318,0,1,0,26,1528658875.1280966,0.2096238136291504
00:50:56:F4:05:7C,00:0C:29:92:7B:E5,6,33,104.121.247.136,192.168.2.137,1673544769,3954029734,0,1,0,26,1528658875.1283586,0.209885835647583
00:0C:29:92:7B:E5,00:50:56:F4:05:7C,6,33,192.168.2.137,52.206.39.13,2059516358,1432557062,0,1,0,20,1528658875.9113648,0.9928920269012451
00:50:56:F4:05:7C,00:0C:29:92:7B:E5,6,33,52.206.39.13,192.168.2.137,1432557062,2059516359,0,1,0,26,1528658875.9117875,0.9933147430419922
00:0C:29:92:7B:E5,00:50:56:F4:05:7C,6,33,192.168.2.137,23.58.43.27,3330677221,200700735,0,1,0,20,1528658876.1837,1.2652273178100586
00:50:56:F4:05:7C,00:0C:29:92:7B:E5,6,33,23.58.43.27,192.168.2.137,200700735,3330677222,0,1,0,26,1528658876.183985,1.265512228012085
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2550232,1.3365504741668701
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2554207,1.3369479179382324
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.256265,1.337792158126831
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2566285,1.338155746459961
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.256973,1.3385002613067627
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2572787,1.338805913925171
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.257473,1.3390002250671387
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2576404,1.339167594909668
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2578402,1.339367389678955
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2582285,1.3397557735443115
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2585757,1.3401029109954834
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2589915,1.3405187129974365
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2591903,1.3407175540924072
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2595775,1.3411047458648682
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2598534,1.3413805961608887
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2601323,1.3416595458984375
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.260444,1.3419711589813232
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2607195,1.3422467708587646
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2610693,1.3425965309143066
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2614007,1.3429279327392578
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2618425,1.343369722366333
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2624488,1.3439760208129883
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2627966,1.3443238735198975
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2635436,1.3450708389282227
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.2649064,1.3464336395263672
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.2663856,1.3479127883911133
